,,place,player,points,#,wrld,ic_30,ic_31,ic_32,ic_33,im_27,im_28,im_29,im_30,rl_05,rl_06,rl_07,rl_08,wmbl,aus,sl,ml,eif,qd
,,40,RestlessMe,2 330,19,390,140,95,125,200,185,210,160,185,310,250,170,310,25,10,340,138,320,10
,,41,barboucha,2 285,10,,,,,230,440,310,340,310,,260,,,150,,126,245,,100
,,42,GerisNezus,2 196,16,390,,165,230,130,115,115,185,250,,135,150,150,90,500,196,235,210,
,#N/A,43,jantteri,2 140,18,170,95,80,92,165,100,102,140,185,150,105,95,90,90,10,310,220,800,
,,44,Lander90,2 093,19,570,46,69,165,280,56,64,102,210,130,150,125,130,240,40,290,188,63,45
,,45,moemoe,2 050,19,260,59,69,69,125,210,210,340,280,52,80,185,190,45,40,250,93,126,310
,,46,ElChupacabra,2 045,17,390,80,52,69,75,210,160,90,,180,125,90,,25,10,160,96,680,140
,,47,321letsjam,2 005,10,,125,165,300,240,340,370,280,160,,,,150,,,,110,,
,,48,Ristey,1 995,18,570,75,69,92,85,49,56,76,,125,110,200,160,350,10,280,106,200,5
,,48,yaba,1 995,10,470,,150,170,300,,185,210,160,,,,,,,350,142,,80
,,50,Brightfuture,1 974,15,390,140,105,125,130,340,280,210,160,,,,,10,100,122,154,300,95
,,51,jezza101,1 970,14,170,200,170,140,125,76,102,140,115,270,,,,90,300,84,,580,
,,52,Tamirys,1 960,10,390,230,200,300,310,115,185,160,185,,,,,,100,,,,
,#N/A,53,daimx,1 911,18,140,92,165,150,150,115,100,64,102,125,110,135,150,350,500,176,270,140,
,,54,kyshantry,1 900,1,1900,,,,,,,,,,,,,,,,,,
,,55,ben0728,1 871,9,210,,,,,,,,,420,210,190,170,350,10,91,,230,
,,56,Praetorianer,1 815,18,390,165,150,130,85,210,160,185,180,260,180,230,180,90,180,93,124,120,
,,57,BlixLT,1 810,19,140,85,95,85,125,56,64,76,64,190,170,180,135,25,40,330,250,350,200
,,58,HCsquared,1 784,6,1250,,,,92,140,100,102,100,,,,,,,,,,
,,59,Boyo,1 753,11,170,165,230,310,,,,,,125,,,,45,180,128,126,410,160
,,60,Angor,1 742,4,,,92,300,350,,,,,,,,,,1000,,,,
,,61,MidnightFox,1 735,15,115,80,47,43,46,76,76,55,56,470,420,160,150,240,100,,,,
,,62,Momomillion,1 724,18,390,125,165,170,230,42,102,115,115,39,60,80,130,45,40,184,330,,75
,,63,Flackk,1 720,16,570,125,105,80,59,250,160,100,49,170,160,75,50,,40,63,,180,
,,64,Magnetiseur,1 717,9,260,300,410,260,,102,115,,,,,,,,10,140,,,130
,,65,Tordread,1 690,12,130,310,260,230,240,100,,,,250,135,135,,,10,,38,100,
,,66,Huettengaudi,1 685,14,320,59,69,92,165,102,90,102,140,,,,,240,100,142,196,380,
,,67,takusto_II,1 680,11,130,310,260,200,300,102,185,180,115,,,,,90,40,,,,
,,68,Vantablack,1 678,10,260,150,300,410,280,42,76,76,102,,,,,,100,,,,
,,69,Fourierrr,1 640,11,260,150,200,170,,102,115,115,,,,,,,300,205,240,,90
,,70,zadokk,1 620,16,390,105,105,85,125,64,76,102,90,170,180,150,,350,10,150,,,30
,,71,DrSniken,1 534,7,260,,,,,,,,,260,310,250,,350,,81,23,,
,,72,holy834,1 494,17,210,22,34,59,52,64,76,64,55,90,90,150,170,600,40,,108,41,
,,73,Gagic,1 485,18,140,92,165,170,130,160,185,180,185,60,95,130,135,90,10,92,300,135,
,,74,zoldaria,1 461,10,390,,20,46,92,,30,56,140,,,,,550,,99,88,,
,,75,LittleBob,1 445,17,210,95,95,80,52,90,49,42,42,135,170,260,210,45,180,46,,185,
,,76,darwinian,1 430,13,210,125,125,165,,140,140,100,,200,160,130,285,90,,,,,50
,,77,tupper,1 415,16,390,80,92,165,150,100,64,102,210,39,60,60,80,,,138,160,75,
,#N/A,78,Yookie,1 398,16,,46,47,69,59,35,56,76,64,75,185,230,245,350,,158,79,63,
,,79,Palino,1 395,3,950,,,,,,,,,,,,,45,,,400,,
