,,place,player,points,#,wrld,ic_30,ic_31,ic_32,ic_33,im_27,im_28,im_29,im_30,rl_05,rl_06,rl_07,rl_08,wmbl,aus,sl,ml,eif,qd
,,297,Agnsild,423,7,170,40,30,,,30,42,56,55,,,,,,,,,,
,,297,BahbUrge,423,8,,47,52,,69,35,,35,,60,80,,,45,,,,,
,,297,Ralf-TtA,423,7,65,92,80,69,52,,,,,,,,,,40,25,,,
,,300,gamblerch,422,7,115,,,,,,,,,45,39,70,60,,40,,,53,
,,301,MrGekz,421,13,75,,27,34,26,30,30,35,35,82,80,50,30,25,,,,,
,,302,Straszyk,420,2,320,,,,,,,,,,,,,,100,,,,
,,302,sdzy,420,2,390,,,,,,,30,,,,,,,,,,,
,,304,amaj,416,8,,46,52,43,34,35,35,27,,,,,,,,,144,,
,,305,Cat12,415,11,115,34,40,46,52,,,,,27,25,30,38,10,,,60,,
,,306,phoang,412,8,115,46,,,,,,,,50,52,45,39,25,,40,,,
,,306,Tomtomparking,412,15,115,30,26,22,26,42,56,55,35,32,38,32,39,10,,,6,,
,,306,Medgar,412,9,95,30,26,46,80,12,56,49,30,,,,,,,,,,
,,309,Hysen,411,14,115,40,20,27,20,42,56,49,,39,32,38,,25,,20,22,,
,,309,Haxxorn,411,17,95,69,43,46,43,30,30,30,30,45,30,28,25,10,40,5,,18,
,,309,jacksonray,411,9,,30,34,26,46,,,,,48,60,80,50,,,,,63,
,,312,bcnoexceptions,410,11,115,26,34,23,26,,,,,38,60,45,28,,,,64,20,
,,312,RiRu,410,16,45,30,30,46,43,42,30,20,35,44,39,45,25,45,100,,,29,
,,314,eNroamer,409,6,115,59,,,,30,,,,60,,,,45,100,,,,
,,315,Ioannis3,405,15,80,23,23,30,20,56,49,56,55,22,32,37,27,,40,,,9,
,,315,arDKee,405,9,,27,46,92,95,30,42,,,15,48,,,25,,,,,
,,317,Zaij,401,9,95,46,52,43,46,42,42,35,30,,,,,,,,,,
,,318,isman,398,6,115,46,52,,,56,49,,,80,,,,,,,,,
,,319,martinxjames,397,15,75,46,43,26,26,35,42,35,42,44,60,45,35,10,,,21,,
,,319,BuWu,397,17,75,34,43,34,34,6,20,42,30,38,60,55,50,,10,11,14,32,
,,321,maciek,396,17,115,30,34,40,34,35,35,42,30,35,39,45,45,25,10,,7,8,
,,322,Herdeksunek,395,16,75,30,22,26,46,27,6,30,49,25,25,32,60,,40,,45,48,
,,323,guppyfry,393,16,55,43,23,46,47,30,30,30,64,33,35,39,60,,10,39,,17,
,,324,Crey,390,1,390,,,,,,,,,,,,,,,,,,
,,324,WDD,390,1,390,,,,,,,,,,,,,,,,,,
,,324,DJParson,390,1,390,,,,,,,,,,,,,,,,,,
,,324,Beowls,390,1,390,,,,,,,,,,,,,,,,,,
,,324,Cmacu,390,1,390,,,,,,,,,,,,,,,,,,
,,324,Kuter,390,9,80,30,26,30,34,56,55,56,49,,,,,,,,,,
,,330,Mul,388,10,75,43,46,43,26,55,42,42,42,,,,,,,,,32,
,,331,lol1,385,5,140,,,,,,,,,60,55,70,60,,,,,,
,,332,arthurlam90,384,8,,26,46,43,46,42,76,49,56,,,,,,,,,,
,,333,FunkyLere,381,6,,,,,,55,42,56,55,,,,,,,102,71,,
,,333,Cleveman,381,12,115,46,40,23,26,,,,,45,28,35,27,45,10,,,17,
,,333,HopeForLuck,381,14,75,22,46,43,30,30,6,,,44,45,32,,45,10,23,51,,
,,336,t-k-421,380,16,115,46,47,43,26,27,20,30,20,32,22,32,35,10,10,,,14,
,,337,GrandHedgehog,379,7,,,,46,92,,,30,102,,,32,75,,,,2,,
,,338,TheKrunk,377,12,,10,26,30,34,20,42,42,42,,32,52,95,,,38,,,
,,339,Pshemo,372,14,75,46,52,40,30,30,20,30,30,52,45,27,32,25,,,,,
,,340,Radvan,371,10,95,23,23,34,43,30,56,55,35,,,,,,,21,,,
,,340,JoshyWiggins,371,16,115,23,26,23,34,30,42,42,35,27,32,39,32,25,,,19,6,
,,342,vendogs,370,10,75,26,34,20,,30,35,,,38,32,,,,100,,,5,
,,343,theussner79,368,17,80,43,46,40,34,30,30,35,30,32,19,38,52,25,10,,15,17,
,,344,MiloslavIII,365,2,320,,,,,,,,,,,,,45,,,,,
,,345,luigino71,364,15,115,34,26,30,22,20,42,27,20,32,39,45,22,,10,,,13,
,,346,DyziK,363,5,,,59,92,80,56,76,,,,,,,,,,,,
,,347,AdiQue,362,11,115,43,30,26,22,27,12,35,42,,,,,,10,,,44,
,,348,kaeptnblaubaer,361,15,140,22,20,6,23,30,20,27,12,39,27,28,25,45,,,,8,
,,349,EnozamaIV,360,13,80,,,,10,49,30,20,56,20,32,35,44,,10,,21,34,
,,349,ysiad,360,5,,,,,,,,,,75,70,75,95,45,,,,,
,,349,Bookhouseboy,360,14,95,6,46,47,40,20,35,35,30,20,32,27,1,,,,11,,
,,352,Captn4wesome,359,14,95,34,30,46,40,30,42,35,27,33,27,28,25,,,,,34,
,,353,Pule,358,5,115,,,,,,,,,80,80,,,45,,,,38,
,,353,Darain,358,11,,34,34,52,43,,20,27,30,30,60,60,45,,,,,,
,,355,Mark0n,357,5,170,52,,,,35,,,,60,,,,,40,,,,
,,355,Borgmo,357,8,140,20,46,52,,27,12,30,30,,,,,,,,,,
,,357,Mattian12000,356,7,75,40,26,30,46,,,,,,,,,,,,98,41,
,,357,jonzewiespike,356,12,95,,,,,12,42,42,35,32,25,32,38,,40,2,,26,
,,357,sttailtw,356,11,75,34,46,69,43,20,35,30,20,,,,,,,8,,24,
,,360,Vi15So17,354,17,75,30,23,26,22,5,20,35,30,44,60,45,30,25,10,,35,18,
,,361,InfiniteZest,353,5,210,34,46,40,23,,,,,,,,,,,,,,
,,362,Mario86,352,6,115,,,,,,,,,55,45,32,60,45,,,,,
,,362,Gabriele,352,9,130,30,30,,,30,30,,,39,39,,,10,,,,24,
,,364,gothark,350,2,170,,,,,,,,,,,,,,180,,,,
,,364,VampireD,350,2,170,,,,,,,,,,,,,,180,,,,
,,366,pdx,347,11,65,,,,,12,12,30,5,32,35,52,50,25,,,58,,
,,367,Michal_Kossakowski,345,6,115,,,,,,,,,60,55,60,45,10,,,,,
,,367,lhrljr,345,6,75,,,,,,30,56,76,,,48,60,,,,,,
,,369,firlefanzer,343,13,95,20,10,46,40,20,27,20,27,28,28,44,35,,,,,,
,,370,vbogoev,342,15,75,30,26,34,20,27,30,27,6,32,44,45,52,25,,,,7,
,,371,migoet,341,16,95,22,23,34,23,27,20,30,12,32,39,44,27,,,13,40,11,
,,371,Ekdezel,341,15,80,23,34,26,23,20,42,42,42,19,32,39,30,,,,9,22,
,,373,hypodg,339,14,75,23,30,26,34,6,30,35,42,38,39,44,32,,,,,22,
,,373,Spoobill,339,10,95,34,22,30,46,35,42,27,30,,,,,,10,,,,
,,373,Asperins,339,15,95,22,23,22,30,12,27,12,56,25,22,38,44,,10,,,24,
,,376,vitek,337,3,210,75,52,,,,,,,,,,,,,,,,
,,376,spaceport,337,5,95,,,,,42,42,56,102,,,,,,,,,,
,,378,Carbon14,336,12,95,46,40,30,26,12,30,20,30,39,,,,,,6,,5,
,,379,Netopier,335,2,260,75,,,,,,,,,,,,,,,,,
,,379,LuckyAnesa,335,3,170,,,,,,,,,90,75,,,,,,,,
,,379,humanmoves,335,11,75,,,,,,12,20,30,39,39,35,32,45,40,,20,,
,,382,Loveschack,334,9,115,30,26,26,,27,30,30,,32,44,,,,,,,,
,,382,Barnes,334,8,,,20,46,69,,,20,56,,,,52,,,27,44,,
,,384,Prashanth,333,10,80,,,,,49,27,30,49,25,25,25,32,,,,,41,
,,385,Aruta,332,5,130,,20,46,80,,,56,,,,,,,,,,,
,,386,Nickeberg,330,2,320,,,,,,,,,,,,,,10,,,,
,,386,Fayebian,330,2,320,,,,,,,,,,,,,10,,,,,
,,388,dougthonus,328,8,,34,46,43,34,56,55,30,30,,,,,,,,,,
,,388,Nostradamus5321,328,5,130,,,,,,,,,45,38,60,55,,,,,,
,,388,Parcival,328,10,95,34,23,26,34,27,30,35,30,,,,,,,,43,,
,,388,Kloef,328,4,,,,,,30,56,102,140,,,,,,,,,,
,,392,Kelern,326,16,75,,10,22,30,27,6,20,35,30,32,52,45,10,10,,26,15,
,,393,Cresspahl,325,17,75,26,22,23,26,35,42,30,6,32,28,39,44,10,10,,3,15,
,,394,larshb,324,10,75,26,23,26,30,35,56,49,27,,,,,,,,13,,
,,395,jhamra,323,4,130,,,,,,,,,28,75,90,,,,,,,
,,395,sergraim,323,9,75,43,34,20,6,30,30,35,56,,,,,,,,,,
,,395,tronnemann,323,12,95,40,30,23,34,,,,,35,27,32,30,10,10,,,20,
,,395,Tyrtaios,323,14,80,15,26,22,34,12,30,20,27,32,30,32,30,,,,55,,
,,399,Vorbrock,320,1,320,,,,,,,,,,,,,,,,,,
,,399,mbbchess,320,1,320,,,,,,,,,,,,,,,,,,
,,401,Rasputin,319,14,95,26,23,23,34,30,6,12,20,19,28,39,44,,,,,6,
,,402,Bergen,318,16,55,43,34,22,30,42,35,35,30,25,32,27,25,,40,,17,34,
,,402,Bizniouf,318,11,80,,,,22,35,27,20,42,32,38,32,32,,,,,17,
,,404,blackwave,317,8,,15,46,40,26,,,,,48,45,52,45,,,,,,
,,405,Krayze,315,9,20,46,43,,,56,49,,,80,,,,10,,11,10,,
,,405,rabalder,315,7,115,,,,,,,,,50,35,44,39,10,,22,,,
,,405,norbetk,315,7,,46,47,59,52,,,30,56,25,,,,,,,,,
,,408,Cooper,314,13,,15,34,43,46,,12,35,42,22,20,28,32,,,10,54,,
,,409,petrau77,313,15,95,43,23,22,15,30,12,6,12,22,38,30,32,,10,,,9,
,,410,Diogenes,312,13,75,34,30,30,22,20,35,30,12,,,20,38,,40,,,6,
,,411,BeatrixAnd,310,2,210,,,,,,,,,,,,,,100,,,,
,,411,Wennejoekel,310,9,95,,,,,35,30,,,39,28,38,35,,10,,,5,
,,411,Garlett,310,4,,,,,,,,,,80,100,70,60,,,,,,
,,411,mikemast,310,7,65,,,,,,,,,48,47,39,45,10,,,56,,
,,411,qhung49,310,7,20,46,52,47,40,56,49,,,,,,,,,,,,
,,416,Netrom,309,13,95,26,30,34,22,30,12,12,30,25,22,32,32,,,,,,
,,417,Jochabeth,307,9,75,22,34,30,34,,,,,30,32,45,27,,,,,,
,,418,Dzsabo,306,14,80,30,34,40,23,12,27,6,20,28,30,32,32,,,,,8,
,,419,CloneFish,305,12,75,47,43,30,23,,,,,35,27,19,22,,10,,25,8,
,,419,Proteus,305,10,20,47,52,40,30,,,,,30,28,39,39,10,,,,,
,,419,SKJaCaRD,305,13,95,23,23,30,34,,,20,30,30,22,22,38,25,,,2,,
,,419,Victory7,305,11,,,15,46,43,30,35,42,56,,15,28,25,,,,24,,
,,423,Jappa,302,9,80,40,26,20,,30,42,,,32,32,,,,,,,13,
,,423,CRocky,302,12,,30,26,,34,20,35,30,30,20,38,60,45,,,,13,,
,,425,McNulty,297,7,95,,,,,,,,,32,32,52,45,25,,,,16,
,,425,Taeveren,297,13,75,10,20,3,20,35,30,20,,28,44,45,,,10,,,10,
,,425,RobertdeSable,297,9,,15,23,26,34,56,49,35,42,,,,,,,,,32,
,,428,Lammoth,295,15,65,30,30,34,30,30,30,30,35,8,28,30,28,,,,20,41,
,,428,andykr,295,16,75,23,26,30,34,30,6,20,35,32,30,28,27,10,10,,,29,
,,428,khyung,295,6,115,34,47,43,46,,,,,,,,,,10,,,,
,,428,ABQ,295,7,80,59,40,34,40,30,12,,,,,,,,,,,,
,,432,nattee,294,13,,22,46,40,34,35,35,30,12,30,38,30,32,,,,,34,
,,433,Boardello,293,12,95,34,23,30,20,20,30,12,,32,27,22,,,,,,17,
,,434,luckrider,291,9,75,,,,,42,30,20,27,38,32,22,25,,,,,,
,,435,opatulony,290,9,95,34,26,23,23,12,42,27,20,,,,,,,,,,
,,436,Bobisko,289,10,20,59,40,26,30,30,35,42,27,,,,,,,,,18,
,,436,seviech,289,11,75,40,34,26,30,20,27,12,35,,,,,,10,,,22,
,,438,RedMadMike,288,9,115,26,23,,,27,20,30,,20,25,22,,,,,,,
,,439,Kermit19,287,6,115,,,,,,,,,45,28,39,35,25,,,,,
,,440,irule,286,13,75,34,22,30,30,30,6,20,35,19,25,27,4,,,,,,
,,440,taltal,286,7,80,,,,,,,,,39,35,35,52,25,,20,,,
,,442,refs,285,7,95,,,,,,,,,32,38,39,32,25,,24,,,
,,442,MarcoM,285,8,80,,,,,12,35,,,30,32,39,32,25,,,,,
,,444,baggioka,284,13,75,34,22,30,26,12,30,6,12,30,32,27,25,,,,,,
,,444,javimb89,284,16,55,26,23,34,26,35,30,12,6,17,11,19,38,10,40,,,20,
,,446,MBlueMan,283,9,80,,,,,,,,,30,28,32,32,45,,18,1,18,
,,446,sodalppargkppakee,283,11,55,,,,,20,30,12,30,44,35,39,30,10,,17,,,
,,448,AxelKlaar,282,3,210,,,,,30,42,,,,,,,,,,,,
,,448,KEIL,282,8,95,22,22,23,46,,12,35,27,,,,,,,,,,
,,450,Bathman,281,15,65,26,34,26,23,27,5,12,12,20,22,32,48,,10,,,20,
,,451,GunKer,280,4,115,40,,,,30,,,,95,,,,,,,,,
,,451,Purplegoo,280,14,95,22,23,22,23,35,27,6,12,8,28,27,8,,10,,,,
,,451,giannisoad,280,9,65,20,6,22,23,56,55,27,12,,,,,,,,,,
,,454,Csannerud,278,15,95,26,26,23,23,12,30,12,20,25,30,22,22,,,,23,10,
,,454,akira215,278,13,55,46,40,20,,27,6,12,20,28,20,32,30,,,,,10,
,,456,matst379,277,11,65,22,23,22,,,,5,,32,30,28,22,45,,,,32,
,,457,Ricicle,276,5,95,40,46,52,43,,,,,,,,,,,,,,
,,458,IpaStian,275,11,65,23,30,34,30,,,,,35,30,20,28,10,10,,,,
,,458,Muning,275,4,,,,,,,,,,52,60,63,100,,,,,,
,,460,oleKanin,274,9,75,,,,,35,30,20,30,32,30,22,19,,,,,,
,,461,zcx,273,3,,,,,,,,,,,48,95,130,,,,,,
,,462,brumynut,272,15,65,26,20,34,26,20,30,12,20,33,30,28,22,,,,5,26,
,,462,M.T,272,5,95,,,,,,,,,47,32,38,60,,,,,,
,,464,Crs,271,15,95,26,30,23,22,6,12,6,5,25,17,22,28,,10,,,18,
,,464,Pulpecja,271,14,65,23,22,26,23,12,30,12,27,38,27,17,32,,,,,26,
,,466,DJLAODIE,270,2,260,,,,,,,,,,,,,,10,,,,
,,466,nkbobo,270,9,65,26,30,26,34,20,27,20,42,,,,,,,,,,
,,466,Crowther,270,5,80,,,,,35,35,56,64,,,,,,,,,,
,,469,Desgenais,269,11,65,23,26,23,26,30,30,42,27,,,,,,,,16,8,
,,470,Chris10,268,10,75,26,23,20,15,27,30,27,20,,,,,,40,,,,
,,470,Flower4,268,5,,,15,,,30,,,,,38,75,110,,,,,,
,,472,Jume,267,15,80,15,26,22,20,20,27,20,27,19,38,27,1,,10,,,11,
,,472,JoopHuizinga,267,7,75,,,34,30,,30,35,35,,,,28,,,,,,
,,474,ZioKhan,266,15,65,20,3,22,30,27,20,30,20,22,25,25,19,,40,,,24,
,,474,Chriiiss,266,13,80,23,26,20,3,20,35,27,6,28,27,17,20,,,,,,
,,474,AdumbusPrime,266,6,80,,,,,,,,,32,44,45,25,,40,,,,
,,474,powerbigoud,266,14,45,20,22,22,22,6,6,30,27,25,23,25,28,,,,,63,
,,474,Thomi,266,8,,6,30,30,30,30,35,56,49,,,,,,,,,,
,,479,Sengir80,264,5,,59,59,52,43,,,,,,,,,,,51,,,
,,479,Monik,264,14,65,20,10,23,26,,12,30,12,38,35,27,2,,10,,,9,
,,481,Mockingbird5,263,13,65,34,22,15,23,12,27,,,45,19,28,19,10,,,,7,
,,481,SeanHandley,263,13,55,6,23,26,30,,30,27,6,35,32,22,28,10,,,,,
,,483,yliu386,262,5,115,,,,,42,35,35,35,,,,,,,,,,
,,483,Tuty,262,7,20,43,34,46,40,,,30,49,,,,,,,,,,
,,485,mahawirasd,261,9,80,26,20,20,,30,35,,,32,,,,10,,,,18,
,,486,mikechike,260,1,260,,,,,,,,,,,,,,,,,,
,,486,IVE,260,1,260,,,,,,,,,,,,,,,,,,
,,486,Tototrillion,260,1,260,,,,,,,,,,,,,,,,,,
,,486,Dubz,260,9,65,,6,30,26,,,,,32,32,25,25,25,,,,,
,,490,Kaiserschmarrn,259,8,20,43,22,1,,56,55,35,27,,,,,,,,,,
,,490,OrionAlpha,259,14,45,30,22,22,23,5,6,20,27,32,35,37,30,,,,,14,
,,492,danebed,258,4,140,43,26,,,49,,,,,,,,,,,,,
,,492,Wiktor,258,10,80,,,,3,35,27,12,6,32,39,27,6,,,,,,
,,492,boogy5,258,12,65,23,22,23,30,5,12,30,35,30,,,,,,4,,5,
,,495,monkeyml,256,10,,20,23,30,23,5,6,,,25,38,52,45,,,,,,
,,495,Trond79,256,7,,,,27,34,,30,42,35,,,28,60,,,,,,
,,497,TrilceAC,255,6,,59,59,47,47,,,,,,,,,,,7,36,,
,,498,KubikD,254,5,115,,,,,,,,,38,39,30,32,,,,,,
,,499,Polldrake,253,9,80,,,,,27,30,30,12,20,22,22,22,,,,,,
,,499,kev5047,253,11,20,,,23,26,30,12,27,20,38,39,35,35,,,,,,
,,501,chris223,252,14,55,23,26,23,26,27,20,35,35,25,23,20,19,,,,,14,
,,502,Donni,250,2,210,,,,,,,,,,,,,,40,,,,
,,502,Garban7,250,9,65,30,30,30,20,,,,,28,17,22,25,,,,,,
,,504,greyshade,249,8,80,22,22,22,,,,,,28,27,28,20,,,,,,
,,504,Strawer_1982,249,9,,23,30,23,26,42,35,35,35,,,,,,,,,13,
,,506,Joppur,248,9,75,20,10,,,27,6,5,,35,30,,,45,,,,,
,,506,TheYoungDutch,248,7,45,,,,,,,,,30,32,60,45,10,,,,26,
,,508,MarekP,247,6,115,,,46,,,20,30,,32,,,,,,,,4,
,,508,tianren4561367,247,4,,,,27,92,,,,,,,48,80,,,,,,
,,510,Largos,246,14,75,22,30,20,30,5,5,12,27,8,20,22,17,,,,,7,
,,510,GregoryD,246,9,95,20,10,22,30,30,12,27,6,,,,,,,,,,
,,512,skab12,245,13,65,23,23,34,23,20,30,12,12,22,19,19,25,,,,,,
,,512,Fullynice,245,14,65,22,22,22,22,30,20,27,5,17,30,27,2,,,,,8,
,,512,HRG,245,13,80,20,20,15,23,20,27,20,30,19,20,17,25,,,,,,
,,515,woodabooga,244,6,75,,,,,,,,,45,25,39,35,25,,,,,
,,515,Francesco1812,244,14,75,30,23,23,23,6,6,20,30,20,19,19,19,,,,,15,
,,515,Dienekes,244,14,80,15,22,20,26,6,6,6,5,19,17,32,27,,,,,18,
,,518,alittlehorse,243,7,75,,,,,,,,,35,38,35,27,25,,,8,,
,,518,rcia,243,6,95,26,30,34,26,,,,,,,,,,,,,32,
,,520,tysat,242,10,80,,,,,12,30,12,5,28,30,25,25,,10,,,,
,,520,abobey,242,14,55,22,22,6,26,6,5,6,12,28,25,30,32,,,,24,,
,,520,Magnotta85,242,2,,,,,,,,,,,,,,,,148,94,,
,,523,joehammerman,241,8,115,26,23,23,,12,27,5,,,,,,,10,,,,
,,523,Shiffdog,241,13,65,10,22,23,23,27,6,5,6,22,32,27,1,,,,,,
,,523,zackg,241,9,75,30,23,26,23,,,,,17,15,22,25,,,,,,
,,526,TeriyakiJaccuzi,240,15,45,20,6,22,20,12,27,5,20,27,28,44,27,10,,,,7,
,,526,LhuCaS,240,9,65,22,30,22,20,42,27,6,12,,,,,,,,,,
,,526,RoboKay314,240,13,80,20,3,20,22,12,27,12,6,22,22,25,22,,,,,,
,,526,Selya,240,2,140,,,,,,,,,,,,,,100,,,,
,,526,jonswar,240,1,,,,,,,,,,,,,,,,,,240,
,,526,Kaczas,240,6,95,,,,,,,,,28,39,35,35,,,,8,,
,,526,mrcy,240,4,115,,27,46,52,,,,,,,,,,,,,,
,,533,tiffelvet,239,5,130,,,,,,,,,22,25,32,30,,,,,,
,,533,z0pfel,239,13,,15,20,10,30,30,6,6,6,19,28,39,28,45,,,,,
,,535,JohnyT,238,8,95,,,,15,30,30,6,30,,,,,,10,,,22,
,,536,NRoy,236,8,65,,20,22,,,12,,,,32,30,,10,,45,,,
,,536,Sirovec,236,9,80,22,20,22,22,,,,,20,19,28,22,,,,,,
,,536,pessen,236,2,210,,,,,,,,,,,,,,,26,,,
,,539,Mitchum,235,14,55,22,23,23,20,27,5,12,6,28,32,25,17,,,,,13,
,,539,vgiannog,235,9,65,,,,,12,42,27,20,19,22,20,20,,,,,,
,,541,JohnnyMac,234,13,65,22,20,3,15,20,27,5,5,19,28,30,22,,,,,,
,,541,EugeneB,234,6,95,,,,,,,,,44,32,25,28,10,,,,,
,,541,michasz,234,14,,23,26,22,30,30,27,12,30,19,25,32,22,,10,,34,,
,,541,collace,234,13,,10,20,34,40,6,20,35,27,2,17,28,25,25,,,,,
,,545,GerwinW,233,8,,,20,20,30,42,27,30,35,,,,,,,,,29,
,,545,DarKStyle,233,4,,,,,27,,,30,76,,,,100,,,,,,
,,547,sorecats,231,6,115,26,26,26,30,,,,,,,,,,,,,8,
,,548,Thronx,230,6,,26,23,,,,,,,50,52,45,,,,,,34,
,,548,delonecarter,230,2,130,,,,,,,,,,,,,,100,,,,
,,548,danilius,230,3,170,,,,,30,30,,,,,,,,,,,,
,,548,Synchro,230,6,,,27,40,,30,56,49,,,28,,,,,,,,
,,548,HolyOutlaw,230,9,75,,,,,12,12,35,27,22,20,19,20,,,,,,
,,548,Kesterer,230,1,,,,,,,,,,,,,230,,,,,,
,,554,ThomRun974,229,2,210,,,,,,,,,,,,,,,,,19,
,,554,Rob13,229,12,,23,34,34,26,12,27,20,27,28,25,22,28,,,,,,
,,556,MoonlitShadow,228,3,75,,,,,115,,,,38,,,,,,,,,
,,556,PacoHolliday,228,9,65,20,3,27,20,,,,,22,17,25,32,,,,,,
,,558,LeSauvage,227,9,45,23,30,23,20,,,,,17,30,39,,,,,,5,
,,559,Alfonsillo,226,8,20,30,,34,34,,,20,35,,,28,25,,,,,,
,,560,shohei,225,7,75,34,,30,30,,20,30,6,,,,,,,,,,
,,560,Froggy42,225,11,55,26,22,15,22,,,,,27,26,22,25,10,,,,11,
,,562,Mkucharz,223,2,115,,,,,,,,,,,,,,,108,,,
,,562,mahlerian_shadow,223,9,65,,,,,6,5,12,27,25,28,32,28,,,,,,
,,562,Depp,223,8,,,,15,34,,12,30,30,,28,39,35,,,,,,
,,565,SuperHans,221,2,115,,,,,,,,,,,,,,,106,,,
,,566,nanoprince,220,2,210,,,,,,,,,,,,,,10,,,,
,,566,DayWeed,220,7,65,15,46,,,,,,,6,19,,28,,,,,41,
,,568,micropip,219,12,75,22,20,20,10,12,6,20,30,,,,,,10,8,,20,
,,568,Bedrich_H,219,9,75,22,22,20,27,5,6,20,27,,,,,,,,,,
,,570,Bidenbaum,218,5,,27,,,,56,,,,60,,,,,,64,11,,
,,571,Cristiancordeu,217,9,55,30,22,,,,,,,27,20,28,25,10,,,,10,
,,572,tanman,216,9,65,20,3,22,23,12,27,20,27,,,,,,,,,,
,,572,Daze,216,10,20,,,,6,30,30,12,5,20,38,39,27,,,,,,
,,574,Imiter,215,6,95,,,,,,,,,35,30,28,17,10,,,,,
,,575,Teraspena,214,5,80,26,34,40,34,,,,,,,,,,,,,,
,,576,xeveli,213,12,55,22,,22,22,5,5,6,12,17,11,25,38,,,,,,
,,577,Sonder.,212,5,,,,27,92,,,,,,,38,52,,,,3,,
,,578,J-dog,211,9,55,26,23,22,1,,,,,19,19,19,28,,,,,,
,,579,matinghiasi,210,1,210,,,,,,,,,,,,,,,,,,
,,579,FoLKeN91,210,1,210,,,,,,,,,,,,,,,,,,
,,579,ranch99,210,1,210,,,,,,,,,,,,,,,,,,
,,579,otis,210,1,210,,,,,,,,,,,,,,,,,,
,,579,PatLes5Couronnes,210,1,210,,,,,,,,,,,,,,,,,,
,,579,Kristin,210,1,210,,,,,,,,,,,,,,,,,,
,,579,dnomn8r,210,1,210,,,,,,,,,,,,,,,,,,
,,579,Composaurus,210,1,210,,,,,,,,,,,,,,,,,,
,,579,Shmu,210,1,210,,,,,,,,,,,,,,,,,,
,,579,ulkupayaya,210,1,210,,,,,,,,,,,,,,,,,,
,,579,redantx,210,5,95,,,,,,,,,38,32,20,25,,,,,,
,,590,Rick80,209,9,55,,,,,27,12,30,6,22,22,22,19,,,,,,
,,590,N4F,209,6,,27,34,23,,20,56,49,,,,,,,,,,,
,,590,Paoloco,209,8,,20,34,26,20,35,27,20,27,,,,,,,,,,
,,593,Kozzilla,208,6,65,,,,,,,30,30,25,20,38,,,,,,,
,,593,ElTanque35,208,5,75,,,,27,,,49,56,,,,,,,1,,,
,,595,AntoineBx,207,6,,20,34,46,40,,,,,28,39,,,,,,,,
,,596,MeteorisVulcanus,206,9,65,,,,,12,27,5,6,19,28,32,17,,,,,,
,,596,Exile,206,9,65,20,3,20,22,,,,,15,20,19,25,,,,,,
,,596,KTown,206,9,45,,,,,5,30,27,20,19,20,20,25,,,,,,
,,599,albinsix,205,10,80,26,22,15,26,12,12,6,12,,,,,,,,,8,
,,599,LeBonus,205,6,95,,,,,,,,,25,20,20,38,,,7,,,
,,601,bobcatbob,204,15,65,22,20,10,20,5,5,6,5,19,20,19,19,,10,,,17,
,,601,Jesaphi,204,9,75,22,20,10,20,,,,,17,11,19,20,,,,,,
,,601,Quokka,204,5,55,,,,,,,,,38,35,44,32,,,,,,
,,604,etJake,203,10,45,,,,,6,20,27,12,27,22,22,28,10,,,,,
,,604,FiveGee,203,8,,26,20,20,30,,,,,25,26,28,28,,,,,,
,,604,ChunkySam,203,6,,,,,,,,30,35,,,32,38,,,5,,63,
,,607,Tony117,202,6,80,30,30,22,27,,,,,,,,,,,,,13,
,,607,Jolli,202,9,20,23,22,23,23,49,30,12,12,,,,,,,,,,
,,609,metternich,201,13,55,3,3,20,20,5,20,30,5,17,1,22,17,,,,,,
,,609,Claudius74,201,14,55,22,26,20,20,5,6,5,6,20,19,19,17,,,,,5,
,,609,Gandy,201,7,95,,,,,,,,,25,25,20,32,,,3,1,,
,,612,jRune,200,2,,95,,105,,,,,,,,,,,,,,,
,,613,Drk,199,10,,20,15,26,26,30,12,35,35,,,,,,10,,12,,
,,614,zbert,197,3,140,47,,,,,,,,,,,,,10,,,,
,,614,Twistor,197,4,95,,20,34,,,,,,,,,,,,,,48,
,,614,MechJayTi2,197,6,75,30,34,23,23,,,,12,,,,,,,,,,
,,614,bryanckh,197,6,,,,,15,,30,30,30,,,32,60,,,,,,
,,618,C3POsMidriff,195,5,65,,,,,,20,,,32,38,,,,40,,,,
,,618,Gr33ny,195,13,55,23,20,3,20,5,5,6,12,19,20,19,19,,,,,,
,,618,Vegeta4791,195,11,55,30,22,,20,,6,12,6,17,4,19,20,,,,,,
,,618,verbalg,195,8,,,,,,20,35,27,20,28,17,28,20,,,,,,
,,618,DerIch86,195,5,65,,,,,,30,30,,,,38,32,,,,,,
,,623,Likas11,194,6,80,,,,,,,,,27,25,30,22,10,,,,,
,,624,Ulyssess,193,10,80,20,6,22,10,12,27,12,6,,,,,,10,,,,
,,624,Partyshank,193,8,65,,,,,27,,6,12,22,19,32,,,10,,,,
,,624,Mejdzr,193,8,45,20,6,26,22,,,,,32,32,,,,10,,,,
,,624,Michcio,193,8,,,,20,23,,20,30,6,,23,32,39,,,,,,
,,628,bluecube,191,3,,,20,46,125,,,,,,,,,,,,,,
,,629,Chrono_,190,4,115,,,,,,,,,35,30,,,10,,,,,
,,629,Montu,190,5,,30,,,,42,,35,35,,,,,,,,,48,
,,629,JCleek,190,2,,85,,,105,,,,,,,,,,,,,,
