,,place,player,points,#,wrld,ic_32,ic_33,,,im_29,im_30,,,rl_07,rl_08,,,wmbl,aus,surv,ml,sl,qd
,,48,RestlessMe,1 255,13,210,125,200,,,160,185,,,170,310,,,25,100,80,83,87,180
,,50,Sellux,1 246,7,130,,,,,,,,,60,120,,,45,300,560,,76,
,,51,takusto_II,1 245,8,260,200,300,,,180,115,,,,,,,90,40,190,,,
,,52,GerisNezus,1 229,12,260,230,130,,,185,250,,,150,150,,,90,40,80,154,85,
,,53,yaba,1 225,9,140,170,300,,,210,160,,,,,,,,,80,126,245,85
,#N/A,54,jantteri,1 220,13,260,92,165,,,140,185,,,95,90,,,90,40,190,189,196,200
,,55,Tamirys,1 205,6,210,300,310,,,160,185,,,,,,,,40,,,,
,,56,Praetorianer,1 165,12,260,130,85,,,185,180,,,230,180,,,90,100,40,80,66,
,,57,Doobie,1 150,11,470,85,165,,,115,115,,,150,135,,,45,40,80,,99,
,,58,Gagic,1 142,13,210,170,130,,,180,185,,,130,135,,,90,180,120,217,80,65
,,59,Ristey,1 124,11,210,92,85,,,76,,,,200,160,,,350,40,40,53,112,
,#N/A,60,daimx,1 101,12,140,150,150,,,64,102,,,135,150,,,350,10,120,161,134,
,,61,CaesarSalah,1 097,13,260,125,170,,,76,55,,,230,210,,,25,10,80,92,102,60
,,62,Turdle,1 082,12,260,95,165,,,102,100,,,115,80,,,90,100,300,140,46,
,,63,BlixLT,1 081,13,115,85,125,,,76,64,,,180,135,,,25,10,120,203,308,130
,,64,BoatyMcBoatface,1 035,12,260,165,140,,,100,102,,,135,125,,,150,180,120,77,140,
,,65,Gilgamesh2,1 030,4,130,,,,,,,,,420,440,,,,,40,,,
,,65,darwinian,1 030,6,260,165,,,,100,,,,130,285,,,90,,,,,
,,67,Dethar,1 026,8,210,46,92,,,56,64,,,,,,,150,100,410,,,
,,68,Brightfuture,1 005,10,260,125,130,,,210,160,,,,,,,10,,120,106,97,80
,,68,Tordread,1 005,6,260,230,240,,,,,,,135,,,,,100,40,,,
,#N/A,70,Budde,994,12,260,34,47,,,35,42,,,63,55,,,10,300,10,224,92,
,#N/A,71,drodriguez,983,9,260,85,105,,,185,210,,,105,70,,,,,,68,118,
,,72,tupper,975,11,260,165,150,,,102,210,,,60,80,,,,10,40,87,88,
,,73,jezza101,970,10,260,140,125,,,140,115,,,,,,,90,40,190,,59,90
,,73,maximpodg,970,2,470,,,,,,,,,,,,,,500,,,,
,,75,Lcfyx,965,4,,240,200,,,185,340,,,,,,,,,,,,
