,,place,player,points,#,wrld,ic_24,ic_25,ic_26,ic_27,im_21,im_22,im_23,im_24,rl_01,rl_02,,snail,wmbl,aus,eif,ml,qd
,,31,DiddleySquat,2 290,13,180,230,130,125,150,550,450,250,140,105,85,,,,10,,,340
,,32,Gutemetralla,2 259,7,450,30,,,,69,,,,210,440,,750,,,,310,
,,33,yaba,2 238,9,260,300,350,,300,230,,,92,,,,,,400,,168,230
,,34,Dirkules,2 210,5,370,650,650,440,,,,,,,,,,,100,,,
,,35,Lambda,2 180,6,,350,550,750,440,,,,,,,,,,25,,,65
,,36,BlixLT,2 140,17,180,85,85,75,92,180,230,140,85,125,150,,140,120,100,470,480,310
,,37,Boromir7,2 110,13,370,200,150,300,310,230,140,125,300,,,,65,250,25,,,65
,,38,Praetorianer,2 090,16,310,200,230,170,170,75,55,92,165,270,310,,140,,10,430,158,35
,,39,Grozz,2 085,13,450,,165,230,300,27,46,92,165,230,230,,,,25,,250,230
,,40,Lech,2 030,11,525,85,95,125,165,92,125,300,410,150,230,,,,,,,
,,41,vanishadow,2 000,2,,,,,,,,,,1000,1000,,,,,,,
,,42,sqwndw,1 990,8,260,170,150,170,,510,330,,,,,,350,,50,,,
,,43,zadokk,1 930,13,310,105,125,200,200,230,180,,,180,105,,125,250,50,,,380
,,44,KarlThomas,1 925,11,180,410,310,260,130,150,165,180,,230,190,,,,,,,30
,,45,Ristey,1 913,16,370,69,69,92,85,46,92,125,230,150,115,,273,30,200,215,350,
,,46,SnailZane,1 910,8,525,230,310,310,240,,,,,135,,,110,,50,,,
,,47,Arne,1 865,12,240,92,165,230,280,85,92,165,300,150,285,,,,,,,200
,,48,Tamirys,1 855,10,370,280,350,240,150,150,165,150,125,,,,,,10,,,
,,49,Himmelstosh,1 835,6,260,260,300,240,,,,,,,,,,750,25,,,
,,50,FirstOfDao,1 818,12,525,52,46,52,92,69,100,165,150,300,360,,,,,,126,
,,51,e5582768,1 770,3,1300,,,,,,,,,260,210,,,,,,,
,,52,RestlessMe,1 745,15,140,47,59,69,69,92,125,180,180,170,230,,,,100,380,235,230
,,53,Sylvain,1 692,6,525,140,,,,92,85,,,,,,,,200,650,,
,,54,Netopier,1 665,12,140,130,75,,,250,,,69,,170,,180,120,25,20,13,600
,,55,RutgerHauer,1 662,9,800,47,69,75,92,69,92,165,300,,,,,,,,,
,#N/A,56,occupied,1 657,9,370,170,300,280,260,100,85,92,75,,,,,,,,,
,,57,vaLfizzL,1 650,14,370,310,260,140,105,165,140,85,92,160,80,,,30,50,,102,
,,58,Gilgamesh2,1 620,10,950,27,46,69,105,27,46,69,,135,200,,,,,,,
,,58,Jaracz,1 620,11,370,92,165,,230,165,150,100,125,200,,,,,,,180,160
,,60,DJParson,1 537,9,650,105,80,92,95,280,150,85,41,,,,,,,,,
,,61,roverandom,1 476,16,125,95,80,59,69,125,75,47,34,185,180,,,60,25,310,176,280
