,,place,player,points,#,wrld,ic_28,ic_29,ic_30,ic_31,im_25,im_26,im_27,im_28,rl_03,rl_04,rl_05,rl_06,wmbl,aus,sl,ml,eif,qd,ldrb,
,,53,kyshantry,1 900,1,1900,,,,,,,,,,,,,,,,,,,,
,,54,Boyo,1 850,16,170,105,105,165,230,76,64,,,160,135,125,,40,180,300,235,410,160,,
,,55,yaba,1 841,10,470,240,150,,150,140,140,,185,,,,,,,330,176,,80,,
,,56,BlixLT,1 797,19,140,85,95,85,95,55,42,56,64,200,260,190,170,180,40,225,192,350,200,,
,,57,Magnetiseur,1 792,12,260,92,165,300,410,35,56,102,115,,,,,,10,310,,,130,,
,#N/A,58,Fjantarik,1 780,9,470,300,260,140,125,140,185,160,100,,,,,,,,,,,,
,,59,takusto_II,1 777,11,130,300,350,310,260,140,90,102,185,,,,,100,40,,,,,,
,,60,Oprah,1 760,12,210,105,105,95,95,480,280,160,90,,,,,,40,,290,130,,,
,,61,Kay,1 730,16,130,230,200,170,150,55,42,42,56,150,150,105,95,300,,142,,,380,,
,,62,MidnightFox,1 722,14,115,92,105,80,47,76,64,76,76,135,285,470,420,,100,,,,,,
,#N/A,63,daimx,1 718,18,140,125,75,92,165,90,102,115,100,150,135,125,110,,500,168,320,140,45,,
,,64,whsvin,1 695,5,75,510,,,,,,,,,,,,750,180,,,,180,,
,,65,moemoe,1 685,18,260,46,69,59,69,102,185,210,210,60,50,52,80,,40,250,134,126,310,,
,,66,HCsquared,1 656,5,1250,,,,,64,102,140,100,,,,,,,,,,,,
,,67,321letsjam,1 620,8,,,125,125,165,185,210,340,370,,,,,100,,,,,,,
,,68,LittleBob,1 523,18,210,140,125,95,95,100,102,90,49,230,180,135,170,180,180,188,,185,40,,
,,69,Tamirys,1 492,10,390,105,165,230,200,100,102,115,185,,,,,,100,,,,,,
,,70,funnytortoise,1 476,12,260,95,85,105,165,185,180,140,180,,,,,,,16,116,250,,,
,,71,Huettengaudi,1 454,13,320,140,75,59,69,64,64,102,90,,,,,,100,154,168,380,,,
,,72,DrSniken,1 448,7,260,,,,,,,,,170,230,260,310,,,192,26,,,,
,,73,Gagic,1 445,18,140,92,80,92,165,185,250,160,185,80,50,60,95,40,10,110,225,135,,,
,,74,gothark,1 420,9,170,165,230,,,250,160,,,115,150,,,,180,3,,,,,
,,75,RutgerHauer,1 405,5,470,165,150,,,280,,,,,,,,,,,,,340,,
,,76,maiquelPS,1 400,12,140,200,170,150,130,210,160,140,140,210,160,,,,,,,110,,,
,,77,Palino,1 390,2,950,,,,,,,,,,,,,,,,440,,,,
,,78,tupper,1 341,17,390,165,130,80,92,100,102,100,64,32,38,39,60,100,,134,220,75,,,
,,79,Jorrig,1 335,7,260,69,92,105,85,,,64,,,,,,,660,,,,,,
,,80,zadokk,1 328,15,390,130,95,105,105,,,64,76,95,110,170,180,40,10,138,,,100,,
,,80,Lander90,1 328,17,570,,27,46,69,56,55,56,64,48,95,130,150,,40,102,148,63,45,,
,,82,Sandwhale,1 318,5,,300,410,410,,,,,,,,,,,40,158,,,,,
,,83,Wawrzyniec,1 285,2,,,,,,,,185,,,,,,,,1000,,,,100,100
,,84,Momomillion,1 278,17,390,69,92,125,165,49,35,42,102,80,50,39,60,,40,128,196,,75,,
,,85,Vantablack,1 277,11,260,165,170,150,300,56,49,42,76,,,,,,100,,40,,,,
,,86,borz.zrob,1 273,9,130,170,300,260,140,49,56,102,115,,,,,,,,,,,,
,,87,Firedart,1 272,18,130,95,80,47,43,185,160,90,49,170,210,180,105,40,10,47,132,45,,,
,,88,Doobie,1 252,17,320,85,165,130,125,100,64,76,102,90,70,60,82,10,10,205,,105,,,
,,89,vanishadow,1 250,2,,,,,,,,,,750,,,,500,,,,,,,
,,90,BoatyMcBoatface,1 250,14,210,165,200,150,140,30,56,102,140,130,,115,110,,,104,62,,,,
,,91,megumi,1 240,3,,,,,,,,,,470,470,,,300,,,,,,,
,,92,darwinian,1 230,12,210,95,,125,125,,115,140,140,125,130,200,160,,,,,,50,,
,,93,Masox,1 206,19,260,80,69,92,75,64,102,100,55,105,90,130,105,180,100,33,154,170,15,,
,,94,Raulone,1 193,6,570,,,,,100,76,102,185,160,,,,,,,,,,,
,,95,Phalanxx,1 175,15,210,,46,105,95,56,102,185,180,38,52,95,110,,40,16,188,,,,
,,96,gomensky,1 172,7,,27,95,105,105,,,,,,,,,,100,220,520,,,,
,,97,Netopier,1 170,11,260,46,95,75,,90,49,,,260,180,,,40,,100,,,110,,
,,98,DiddleySquat,1 130,8,,150,130,125,80,115,140,140,250,,,,,,,,,,,,
,,99,CouchKing,1 127,12,260,150,200,130,95,102,90,76,49,,,,,,100,61,,65,,,
,,100,Unterjochen,1 109,18,130,92,85,105,75,102,140,90,76,35,60,80,100,10,40,172,200,160,,,
,,100,FCKAFD,1 109,5,700,,,,,42,56,,,,,,,,,81,230,,,,
,,102,PhiTrigger,1 100,12,210,125,105,165,150,102,115,115,90,,,,,,10,88,,115,,,
,,102,Plunderteig,1 100,1,1100,,,,,,,,,,,,,,,,,,,,
,,104,Angor,1 092,2,,,,,92,,,,,,,,,,1000,,,,,,
,,104,Gyphon,1 092,12,170,,,43,34,,20,56,76,150,200,160,95,,,89,152,,,,
,#N/A,106,WhateverParsley,1 075,12,260,170,150,130,105,,,,64,55,70,80,110,,40,9,,,,,
,#N/A,107,LeonidasI,1 062,15,170,30,46,92,75,56,102,90,55,130,170,160,80,,,148,61,,,,
,,108,speedstone,1 050,11,170,,,,,56,102,100,55,210,160,100,90,10,,118,,,,,
,,109,vaLfizzL,1 048,17,130,80,59,69,59,115,100,55,,95,90,110,170,40,10,77,128,200,,,
,,110,Eske,1 042,3,700,,,,,,,,,270,,,,,,72,,,,,
,,111,Turdle,1 037,18,130,130,95,95,85,64,102,90,76,,130,115,130,10,40,116,184,95,70,,
,,112,Shagrat,1 034,18,115,69,69,92,125,90,76,102,90,80,70,110,115,,40,95,78,280,75,,
,,113,jhutc,1 029,12,320,,43,46,92,,,102,,60,80,100,75,,,150,99,86,,,
,,114,ed_vins,1 024,15,260,46,59,69,43,56,64,76,102,70,75,55,80,,,,260,101,,,
,,115,WanderingWolf,1 022,10,210,140,95,75,69,160,115,100,102,,,,,,100,,,,,,
,,116,Shadowiscool500,1 013,16,210,59,92,125,75,64,64,55,35,60,50,44,44,,300,18,83,,,,
,,117,wittr,1 006,15,210,130,80,52,47,42,56,55,42,135,115,100,90,,,146,,50,,,
,,118,heisenberg_97,1 004,8,,200,140,165,230,56,55,56,102,,,,,,,,,,,,
,#N/A,119,brunoerwin,988,12,210,130,85,85,125,76,49,56,64,,,,,,40,152,,125,,,
,#N/A,120,weisswurst,972,9,130,,,200,130,,76,76,76,,115,130,115,,,,,,,,
,,121,roverandom,967,18,170,92,80,59,59,56,76,76,64,115,100,100,130,40,10,73,180,80,,,
,,122,Rob_Stedman,959,11,140,95,75,92,105,102,100,55,35,,,,,180,,,,145,,,
,,123,Dots,950,1,950,,,,,,,,,,,,,,,,,,,,
,,124,Kimmo,947,15,115,125,85,125,85,76,100,64,102,70,50,60,60,,40,,,210,,,
,,125,Obinger_Alphons,933,12,320,46,52,59,69,,,49,56,100,110,105,80,,,90,,,,,
,#N/A,126,drodriguez,930,15,210,27,46,69,92,35,35,56,102,11,48,95,150,,,41,156,,,,
,,127,Nightvayne,927,13,115,52,92,75,59,115,115,185,160,70,44,60,45,,,,,,,,
,,128,Snucka,923,10,390,,,27,46,,56,102,,44,60,82,130,,,,57,,,,
,#N/A,129,Rajeev,921,9,210,34,,34,,100,102,90,,100,150,135,,,,,,,,,
,#N/A,130,discodancer,920,5,,170,230,170,170,,,,,,,,,,180,,,,,,
,#N/A,130,BelieveDream,920,4,,,,,,,,,,120,170,360,270,,,,,,,,
,,132,MartinW,915,13,390,52,59,69,47,55,35,42,35,75,,,,,10,75,140,,,,
,,133,SpartacusImperator,905,5,,165,200,230,300,,,,,,,,,,10,,,,,,
,,134,MindKillazz,901,12,115,,,,,115,90,64,102,110,105,60,80,,,126,138,74,,,
,,135,Qiubag,899,15,390,95,75,47,52,49,56,64,49,55,55,82,80,,40,,,57,,,
,,135,Hisbossness,899,14,140,69,69,92,75,55,56,102,140,44,55,70,150,,,130,,,,,
,,137,Sunmaster14_LV,896,18,140,59,92,105,75,64,64,55,35,115,100,100,95,100,100,,136,90,10,,
,,138,littlesquirrel,895,4,,,,,,,,,,185,310,300,,,100,,,,,,
,#N/A,138,Padishar,895,17,115,92,75,69,59,90,76,102,90,48,55,50,35,,10,210,93,103,,,
,,140,maxolino,882,13,210,95,85,85,80,49,35,30,30,,,,,10,40,,110,168,,,
,,141,Skaiwalker,881,10,130,125,125,130,85,140,90,49,56,,,,,,40,,,,,,
,,142,DrRerNate,879,7,320,,,,,180,115,115,100,,,,,,,4,45,,,,
,,142,Vangelisb,879,16,210,47,47,52,52,102,100,102,115,55,55,55,95,100,,7,,45,,,
,#N/A,144,Rhizom,832,8,210,92,85,80,,,,,,95,100,110,,,,,,60,,,
,,145,Garri,821,14,140,75,43,46,52,30,30,42,27,44,60,,,100,300,48,,,,,
,,146,holy834,817,17,210,46,40,22,34,56,64,64,76,75,110,90,90,,40,59,102,41,,,
,,147,jingjing123,816,16,210,26,46,92,105,42,55,35,56,75,80,95,75,,,5,84,48,,,
,,148,Dvale112,810,11,170,75,47,92,105,42,56,76,115,,,,,,10,,,121,,,
,,149,Papaver,805,6,,125,125,140,85,,,,,,,,,,100,230,,,,,
,#N/A,150,OlaWictorin,799,12,170,92,85,80,69,140,90,55,27,,,,,,40,70,72,,,,
,,151,PlanarFreak,783,7,170,95,95,95,85,,,,,,,,,,,79,164,,,,
,,152,JimmyLin,775,17,75,47,47,43,26,64,55,35,27,95,110,170,115,,40,23,79,67,,,
,,153,Gelato,771,13,95,,,,,64,64,76,100,62,95,110,75,10,,108,92,95,,,
,#N/A,154,Reenter73,768,7,210,59,92,,,56,64,102,185,,,,,,,,,,,,
,,155,Gavatron,767,8,170,59,52,92,80,160,90,,64,,,,,,,,,,,,
,,155,belowfox,767,10,170,,,92,80,30,35,56,76,,,100,130,,,,,63,,,
,,157,nerficya,766,9,320,,,47,69,,64,76,90,,,45,52,,,,48,,,,
,,158,BitterBlossom,764,8,115,92,125,75,52,,,,,125,80,,,,100,,,,,,
,,158,JensIV,764,15,170,46,52,47,92,90,49,42,30,44,95,70,44,,,49,146,,,,
,,160,ElKhan,762,17,140,69,69,52,47,56,64,55,42,52,95,90,70,10,,45,86,143,,,
,#N/A,161,occupied,761,8,,150,130,85,75,102,100,64,55,,,,,,,,,,,,
,,162,maunzzz,757,16,320,34,46,52,59,5,30,56,76,28,44,39,60,,40,44,88,,,,
,#N/A,163,ciufile,756,9,390,,,,27,,20,56,102,,52,55,45,,,29,,,,,
,,164,FreddyCrugerKiller,755,5,210,230,130,105,80,,,,,,,,,,,,,,,,
,,164,virvett,755,14,20,59,52,69,47,42,56,49,56,110,125,130,150,10,,,,,,,
,#N/A,166,Buldozer_bga,746,10,95,43,46,40,30,,,,,110,110,135,125,,,82,,,,,
,,167,Xterm,745,5,115,105,125,200,200,,,,,,,,,,,,,,,,
,,168,fathope,736,15,115,75,69,85,85,64,64,102,100,50,75,70,44,,,99,,70,,,
,,169,Notbot66,735,14,115,46,92,75,47,35,56,102,90,70,90,75,55,,,96,,,,,
,,170,kenchan,715,18,170,75,52,47,92,76,64,76,76,39,35,75,75,40,10,69,49,25,,,
,,171,Thisisnotasmile,714,17,115,59,69,69,43,55,56,49,42,70,75,50,60,,100,80,118,87,,,
,,172,flutter,713,17,170,85,80,69,69,27,12,42,56,80,60,55,60,100,10,6,,40,,,
