,,place,player,points,#,wrld,ic_28,ic_29,ic_30,ic_31,im_25,im_26,im_27,im_28,rl_03,rl_04,rl_05,rl_06,wmbl,aus,sl,ml,eif,qd,ldrb,
,,285,Sakic19,442,10,130,,,20,46,,,30,56,,39,52,60,,,,18,29,,,
,,286,Haxxorn,441,17,95,43,46,69,43,49,30,30,30,50,44,45,30,,40,10,7,18,,,
,,286,TribunX,441,16,140,46,47,47,47,30,20,30,30,38,32,25,38,,,4,38,10,,,
,,288,zoldaria,440,3,390,,,,20,,,,30,,,,,,,,,,,,
,,289,danebed,438,8,140,43,46,43,26,35,56,49,,,,,,,,,,,,,
,,289,TheElk,438,15,170,40,23,30,34,6,20,27,20,38,32,32,52,,40,,32,,,,
,,291,Musan,437,5,140,92,,,,,,,,80,,,,100,,,25,,,,
,,291,Neandrtalec,437,5,170,,,,,,,,,52,70,75,70,,,,,,,,
,,293,AdiQue,436,11,115,80,47,43,30,35,42,27,12,,,,,,10,,,44,,,
,,294,Bulten,435,5,140,47,43,,,140,,,,,,,,,,,65,,,,
,,295,zbert,433,8,140,52,59,47,,,,,,55,,,,10,10,,60,,,,
,,296,Pieroz88,432,6,95,,,,,,,,,75,80,80,70,,,32,,,,,
,,297,iyakhoop,430,2,260,,,,,,,,,,,,,,,,,170,,,
,,298,Malakesh,426,7,170,,,,,,,,20,11,38,60,120,,,,7,,,,
,,299,Crey,425,2,390,,,,,,,,,,,,,,,35,,,,,
,,300,Krayze,424,11,20,,27,46,43,,30,56,49,,52,80,,,,34,64,,,,
,,301,Daemon3142,422,15,95,34,34,40,46,42,56,49,42,39,35,39,52,,,,13,14,,,
,,302,Dethar,420,2,390,,,,,,,,30,,,,,,,,,,,,
,,303,chefung,416,12,80,30,,,,42,55,56,64,25,28,44,45,,,,22,9,,,
,,304,daggsea,415,7,170,,27,23,46,,,,,,52,45,52,,,,,,,,
,,305,Pshemo,414,13,75,26,22,46,52,56,49,30,20,28,39,52,45,,,,,,,,
,,306,gamblerch,412,7,115,,,,,,,,,60,60,45,39,,40,,,53,,,
,,306,NFGM,412,9,,,,27,46,,30,56,64,,15,48,82,,,,59,,,,
,,308,Doughnut,405,2,320,85,,,,,,,,,,,,,,,,,,,
,,308,Tomtomparking,405,15,115,30,22,30,26,42,42,42,56,25,38,32,38,10,,,16,,,,
,,310,jonzewiespike,402,12,95,,,,,42,30,12,42,55,45,32,25,,40,,51,26,,,
,,310,Loveschack,402,15,115,34,30,30,26,55,42,27,30,50,30,32,44,,,6,11,,,,
,,310,BahbUrge,402,11,,20,34,47,52,20,42,35,,30,52,60,80,,,,,,,,
,,313,Jappa,401,15,80,46,59,40,26,30,12,30,42,70,32,32,32,,,,30,13,,,
,,314,Ralf-TtA,397,7,65,59,47,92,80,,,,,,,,,,40,14,,,,,
,,314,Gabriele,397,15,130,,27,30,30,30,35,30,30,27,32,39,39,40,,,52,24,,,
,,316,Fleepa0,396,9,115,30,30,30,30,30,56,49,56,,,,,,,,,,,,
,,317,Cleveman,394,13,115,22,23,46,40,20,,,,28,52,45,28,40,10,,,17,,,
,,318,WowaduHek,393,4,,,,,,,,,,48,95,100,150,,,,,,,,
,,319,Mul,392,10,75,43,46,43,46,35,42,55,42,,,,,,,,,32,,,
,,319,DyziK,392,6,,46,125,,59,,30,56,76,,,,,,,,,,,,
,,321,DJParson,390,1,390,,,,,,,,,,,,,,,,,,,,
,,321,Beowls,390,1,390,,,,,,,,,,,,,,,,,,,,
,,321,Cmacu,390,1,390,,,,,,,,,,,,,,,,,,,,
,,321,gregt,390,5,210,,,40,46,,30,,64,,,,,,,,,,,,
,,321,sdzy,390,1,390,,,,,,,,,,,,,,,,,,,,
,,326,Diogenes,386,15,75,69,40,34,30,30,6,20,35,48,45,,,10,40,,24,6,,,
,,327,jRune,385,3,,150,140,95,,,,,,,,,,,,,,,,,
,,327,danilius,385,5,170,,,,,100,55,30,30,,,,,,,,,,,,
,,329,Attrill20,384,11,95,34,46,40,34,49,30,30,56,19,,,,,,,,8,,,
,,329,Zaij,384,9,95,30,22,46,52,42,35,42,42,,,,,,,,,,,,
,,331,RiRu,382,16,45,23,26,30,30,30,42,42,30,35,35,44,39,,100,,18,29,,,
,,332,guppyfry,381,17,55,59,47,43,23,35,30,30,30,62,45,33,35,,10,30,25,17,,,
,,333,tronnemann,380,11,95,69,47,40,30,,,,,32,32,35,27,,10,,,20,,,
,,334,sergraim,379,9,75,40,46,43,34,56,55,30,30,,,,,,,,,,,,
,,334,luigino71,379,16,115,26,26,34,26,42,30,20,42,45,28,32,39,10,10,,,13,,,
,,336,martinxjames,377,12,75,,15,46,43,30,30,35,42,8,32,44,60,,,,,,,,
,,337,Oleksandr,376,6,115,,,,,,,,,60,60,48,39,,,54,,,,,
,,338,CloneFish,371,12,75,47,59,47,43,,,,,22,38,35,27,,10,,8,8,,,
,,338,Cat12,371,10,115,15,34,34,40,,,,,32,39,27,25,,,,50,,,,
,,340,DJLAODIE,370,3,260,,,,,,,,,,,,,100,10,,,,,,
,,340,McNulty,370,8,95,,,,,,,,,90,70,32,32,10,,25,,16,,,
,,342,Ioannis3,369,16,80,40,30,23,23,12,42,56,49,27,28,22,32,10,40,,,9,,,
,,343,jSan,368,6,75,34,46,69,,64,,,,80,,,,,,,,,,,
,,344,InfiniteZest,367,5,210,43,34,34,46,,,,,,,,,,,,,,,,
,,345,Durloc,366,10,65,30,34,52,47,35,42,35,56,,,,,,,,,24,,,
,,346,JoshyWiggins,365,15,115,23,30,23,26,20,27,30,42,35,35,27,32,,,,46,6,,,
,,346,Mario86,365,5,115,,,,,,,,,70,80,55,45,,,,,,,,
,,348,Radvan,364,10,95,52,43,23,23,35,30,30,56,,,,,,,14,,,,,
,,349,gabev,363,9,,,,,,42,42,35,,38,52,47,44,,,27,63,,,,
,,350,Spoobill,360,10,95,30,34,34,22,55,35,35,42,,,,,,10,,,,,,
,,351,Jiffy,358,3,210,,,,,,,,,,,,,,,28,120,,,,
,,352,Die12,357,8,75,52,52,43,30,55,30,20,,,,,,,,,,,,,
,,352,aivin,357,5,115,,,,,,,,,50,52,70,70,,,,,,,,
,,352,Budde,357,10,95,,,20,30,30,35,30,30,,,52,55,,,,15,,,,
,,355,Cresspahl,356,16,75,10,23,26,22,20,35,35,42,52,50,32,28,,10,,35,15,,,
,,356,theussner79,354,16,80,22,46,43,46,20,35,30,30,30,32,32,19,40,10,,,17,,,
,,357,Kelern,353,14,75,,,,10,56,55,27,6,22,38,30,32,40,10,,23,15,,,
,,358,kaeptnblaubaer,352,14,140,23,26,22,20,27,20,30,20,28,35,39,27,,,,,8,,,
,,359,hypodg,351,14,75,46,43,23,30,35,30,6,30,45,20,38,39,,,,,22,,,
,,359,Garghiii,351,17,95,34,34,34,30,35,35,27,20,38,35,35,44,10,10,17,,26,,,
,,361,Carbon14,347,13,95,26,34,46,40,27,12,12,30,28,35,39,,,,,,5,,,
,,362,Tony117,345,9,80,52,43,30,30,49,42,,,,,,,,,,19,13,,,
,,362,Herdeksunek,345,16,75,6,26,30,22,55,42,27,6,22,28,25,25,,40,,20,48,,,
,,362,dougthonus,345,8,,40,30,34,46,42,42,56,55,,,,,,,,,,,,
,,365,petrau77,344,16,95,30,46,43,23,27,12,30,12,35,27,22,38,10,10,,,9,,,
,,365,Vi15So17,344,16,75,23,30,30,23,35,30,5,20,35,35,44,60,,10,,15,18,,,
,,365,lol1,344,5,140,,,,,,,,,45,44,60,55,,,,,,,,
,,368,opatulony,343,9,95,46,43,34,26,30,27,12,42,,,,,,,,,,,,
,,369,Kuter,341,10,80,34,30,30,26,30,20,56,55,,,,,10,,,,,,,
,,369,EnozamaIV,341,12,80,,,,,30,56,49,30,30,30,20,32,,10,,14,34,,,
,,371,BuWu,339,15,75,10,30,34,43,20,27,6,20,,20,38,60,,10,,4,32,,,
,,372,jhamra,338,5,130,,,,,,,,,60,45,28,75,,,,,,,,
,,372,larshb,338,10,75,43,26,26,23,42,35,35,56,,,,,,,,9,,,,
,,372,Boristina,338,4,210,,,,,,30,42,56,,,,,,,,,,,,
,,375,Octavian,337,3,170,92,75,,,,,,,,,,,,,,,,,,
,,375,vbogoev,337,16,75,23,26,30,26,35,42,27,30,35,30,32,44,40,,,34,7,,,
,,377,HopeForLuck,336,13,75,34,34,22,46,,20,30,6,,28,44,45,,10,,28,,,,
,,378,ZioKhan,335,16,65,46,43,20,3,35,42,27,20,32,32,22,25,10,40,,,24,,,
,,378,migoet,335,16,95,34,34,22,23,20,35,27,20,28,30,32,39,,,5,36,11,,,
,,380,jmamos,334,3,,,92,,,102,140,,,,,,,,,,,,,,
,,381,Wennejoekel,333,11,95,,,,,20,35,35,30,32,39,39,28,,10,,,5,,,
,,382,nanoprince,332,6,210,,,,,27,12,,,38,35,,,,10,,,,,,
,,383,rabalder,331,6,115,,,,,,,,,45,44,50,35,,,42,,,,,
,,384,Bobisko,330,11,20,46,69,59,40,27,12,30,35,,,,,,,,24,18,,,
,,384,Dread_84,330,9,75,,,20,46,,30,30,30,,,38,52,,,,29,,,,
,,386,Bergen,329,17,55,34,46,43,34,6,20,42,35,30,28,25,32,30,40,,10,34,,,
,,387,Captn4wesome,328,12,95,6,30,34,30,12,27,30,42,,,33,27,,,,,34,,,
,,388,Desgenais,327,11,65,34,30,23,26,42,42,30,30,,,,,,,,54,8,,,
,,389,Garlett,325,4,,,,,,,,,,70,75,80,100,,,,,,,,
,,389,Purplegoo,325,14,95,40,20,22,23,35,42,35,27,20,17,8,28,,10,,,,,,
,,389,Netrom,325,13,95,23,34,26,30,42,42,30,12,25,26,25,22,,,,,,,,
,,389,arthurlam90,325,9,,27,30,26,46,27,30,42,76,,,,,,,,47,,,,
,,393,Prashanth,323,10,80,,,,,20,56,49,27,20,19,25,25,,,,,41,,,
,,394,Csannerud,322,15,95,26,26,26,26,49,27,12,30,20,28,25,30,,,,37,10,,,
,,394,refs,322,6,95,,,,,,,,,80,70,32,38,,,7,,,,,
,,396,Thronx,321,9,,30,30,26,23,,,,,44,55,50,52,,,,,34,,,
,,396,Joppur,321,13,75,20,23,20,10,55,42,27,6,25,32,35,30,,,,,,,,
,,398,mbbchess,320,1,320,,,,,,,,,,,,,,,,,,,,
,,398,Medgar,320,9,95,30,26,30,26,30,27,12,56,,,,,,,,,,,,
,,398,IdkIdcIdgaf,320,1,320,,,,,,,,,,,,,,,,,,,,
,,398,Fayebian,320,1,320,,,,,,,,,,,,,,,,,,,,
,,398,MiloslavIII,320,1,320,,,,,,,,,,,,,,,,,,,,
,,403,Rasputin,318,15,95,20,23,26,23,49,35,30,6,32,19,19,28,,,,2,6,,,
,,403,Nostradamus5321,318,5,130,,,,,,,,,45,60,45,38,,,,,,,,
,,403,Kermit19,318,6,115,,,,,,,,,44,45,45,28,,,,41,,,,
,,406,seviech,317,12,75,43,46,40,34,30,6,20,27,22,,,,,10,,,22,,,
,,407,Kaiserschmarrn,315,8,20,47,52,43,22,,20,56,55,,,,,,,,,,,,
,,408,Aftheiss,313,9,,,15,34,40,30,56,55,42,,,,,,,12,,41,,,
,,409,Taeveren,312,14,75,,,10,20,27,30,35,30,38,32,28,44,10,10,,,10,,,
,,410,Borgmo,310,7,140,,,20,46,30,35,27,12,,,,,,,,,,,,
,,411,Mockingbird5,309,13,65,,6,34,22,35,30,12,27,25,48,45,19,,,,,7,,,
,,412,DonRaphon,308,9,20,30,34,34,22,,,,,44,35,35,,,,,74,,,,
,,412,Bathman,308,15,65,46,40,26,34,35,35,27,5,20,25,20,22,,10,,,20,,,
,,414,firlefanzer,307,13,95,26,34,20,10,12,30,20,27,35,30,28,28,,,,,,,,
,,414,Wiktor,307,9,80,,,,,27,30,35,27,32,32,32,39,,,,,,,,
,,416,Michal_Kossakowski,306,5,115,,,,,,,,,32,44,60,55,,,,,,,,
,,416,RedMadMike,306,13,115,23,30,26,23,30,30,27,20,22,19,20,25,,,,,,,,
,,418,joehammerman,305,10,115,26,23,26,23,35,30,12,27,,,,,,10,,,,,,
,,419,sttailtw,304,11,75,22,30,34,46,30,30,20,35,,,,,,,19,,24,,,
,,420,SimTubez,303,7,,,34,46,40,30,56,55,42,,,,,,,,,,,,
,,420,baggioka,303,13,75,40,34,34,22,27,6,12,30,27,28,30,32,,,,,,,,
,,422,sodalppargkppakee,301,10,55,,,,,49,30,20,30,11,38,44,35,10,,,,,,,
,,423,MarekP,300,8,115,34,,,,35,,,20,32,28,32,,,,,,4,,,
,,423,Lammoth,300,15,65,30,23,30,30,30,30,30,30,25,17,8,28,,,,44,41,,,
,,423,Dzsabo,300,13,80,,6,30,34,12,30,12,27,38,30,28,30,,,,,8,,,
,,426,Selya,299,3,140,59,,,,,,,,,,,,,100,,,,,,
,,426,Proteus,299,10,20,34,46,47,52,,,,,30,32,30,28,,,22,,,,,
,,426,C3POsMidriff,299,9,65,,,,,30,,,20,30,44,32,38,,40,,4,,,,
,,429,nattee,298,13,,23,22,22,46,35,42,35,35,22,33,30,38,,,,,34,,,
,,429,giannisoad,298,9,65,22,30,20,6,30,20,56,55,,,,,,,,,,,,
,,429,Ekdezel,298,15,80,30,30,23,34,12,27,20,42,20,22,19,32,,,,5,22,,,
,,432,SKJaCaRD,297,10,95,26,22,23,23,,,,,39,39,30,22,,,,2,,,,
,,432,Boardello,297,14,95,22,26,34,23,30,12,20,30,19,22,32,27,,,,,17,,,
,,432,luckrider,297,9,75,,,,,12,30,42,30,25,25,38,32,,,,,,,,
,,435,mahawirasd,296,13,80,26,26,26,20,30,30,30,35,22,33,32,,,,,,18,,,
,,436,happyboykt,295,6,75,52,43,30,,55,,,,,,,,,40,,,,,,
,,437,Sengir80,294,5,,59,52,59,59,,,,,,,,,,,65,,,,,
,,438,matst379,292,11,65,30,30,22,23,27,,,,38,35,32,30,,,,,32,,,
,,439,amaj,291,7,,,27,46,52,,30,35,35,,,,,,,,66,,,,
,,440,matinghiasi,290,2,210,,,,,,,,,,80,,,,,,,,,,
,,441,Zegs,289,5,,,27,46,69,,,,,,,52,95,,,,,,,,
,,442,Ricicle,287,5,95,47,59,40,46,,,,,,,,,,,,,,,,
,,442,andykr,287,16,75,20,22,23,26,30,35,30,6,22,22,32,30,,10,,23,29,,,
,,444,spaceport,286,6,95,,,,,56,49,42,42,,,,,,,2,,,,,
,,445,Chriiiss,285,13,80,30,23,23,26,12,27,20,35,32,25,28,27,,,,,,,,
,,446,skab12,284,13,65,26,22,23,23,35,30,20,30,45,30,22,19,,,,,,,,
,,446,javimb89,284,16,55,34,30,26,23,6,30,35,30,30,28,17,11,10,40,,,20,,,
,,448,LhuCaS,282,9,65,40,26,22,30,30,20,42,27,,,,,,,,,,,,
,,448,TrilceAC,282,6,,27,34,59,59,,,,,,,,,,,26,77,,,,
,,448,AxelKlaar,282,3,210,,,,,,,30,42,,,,,,,,,,,,
,,451,Bizniouf,281,11,80,,15,,,12,20,35,27,6,32,32,38,,,,,17,,,
,,452,Mkucharz,279,2,115,,,,,,,,,,,,,,,164,,,,,
,,452,Jochabeth,279,9,75,23,20,22,34,,,,,28,35,30,32,,,,,,,,
,,454,humanmoves,278,8,75,,,,,,,,12,25,32,39,39,,40,,16,,,,
,,455,Parcival,277,8,95,15,23,34,23,,30,27,30,,,,,,,,,,,,
,,456,Bookhouseboy,274,8,95,,,6,46,,,20,35,,20,20,32,,,,,,,,
,,457,akira215,273,14,55,22,22,46,40,30,20,27,6,25,22,28,20,,,,,10,,,
,,457,irule,273,13,75,23,26,34,22,30,30,30,6,20,19,19,25,,,,,,,,
,,459,brumynut,272,15,65,26,23,26,20,6,5,20,30,32,30,33,30,10,,,,26,,,
,,460,ysiad,269,4,,,,,,,,,,44,80,75,70,,,,,,,,
,,461,ABQ,268,6,80,47,,59,40,,,30,12,,,,,,,,,,,,
,,461,nkbobo,268,9,65,40,30,26,30,30,12,20,27,,,,,,,,,,,,
,,463,MBlueMan,267,8,80,,,,,42,30,,,11,28,30,28,,,,,18,,,
,,463,Crs,267,14,95,20,26,26,30,27,6,6,12,,3,25,17,,10,,,18,,,
,,463,Beebs,267,8,,,,15,34,,,,,15,48,50,52,,10,,43,,,,
,,466,zackg,266,9,75,30,26,30,23,,,,,38,27,17,15,,,,,,,,
,,466,khyung,266,6,115,30,30,34,47,,,,,,,,,,10,,,,,,
,,468,Bigwellow,265,5,170,30,,,,35,,,,20,,,,,10,,,,,,
,,469,powerbigoud,264,14,45,26,22,20,22,27,6,6,6,28,27,25,23,,,,,63,,,
,,469,M.T,264,5,95,,,,,,,,,38,52,47,32,,,,,,,,
,,469,oleKanin,264,10,75,,,,,6,12,35,30,25,25,32,30,10,,,,,,,
,,469,Asperins,264,15,95,10,23,22,23,12,5,12,27,19,25,25,22,,10,,,24,,,
,,473,fugg,263,5,130,43,,,,,,,,70,,,,10,10,,,,,,
,,473,boogy5,263,15,65,20,26,23,22,35,30,5,12,15,32,30,,10,,17,,5,,,
,,473,qhung49,263,7,20,,20,46,52,,20,56,49,,,,,,,,,,,,
,,473,Chris10,263,10,75,15,22,26,23,6,20,27,30,,,,,,40,,,,,,
,,473,Legoman,263,6,95,,,15,26,,,,,,32,35,60,,,,,,,,
,,478,MikeyLear,262,3,130,,,,,,,,,52,80,,,,,,,,,,
,,479,pdx,261,11,65,,,,,20,27,12,12,22,38,32,35,,,12,22,,,,
,,480,Largos,260,15,75,22,26,22,30,35,30,5,5,20,17,8,20,,,,20,7,,,
,,480,MrBiz,260,7,,,,20,46,,20,56,55,,,15,48,,,,,,,,
,,480,mikechike,260,1,260,,,,,,,,,,,,,,,,,,,,
,,480,IVE,260,1,260,,,,,,,,,,,,,,,,,,,,
,,480,Tototrillion,260,1,260,,,,,,,,,,,,,,,,,,,,
,,485,Polldrake,259,9,80,,,,,30,12,27,30,25,25,20,22,,,,,,,,
,,486,RoboKay314,258,13,80,22,30,20,3,30,6,12,27,20,25,22,22,,,,,,,,
,,487,IpaStian,257,10,65,20,26,23,30,,,,,11,28,35,30,,10,,,,,,
,,488,Pulpecja,256,14,65,22,20,23,22,5,5,12,30,2,25,38,27,,,,,26,,,
,,488,llsgnm,256,9,,,3,27,30,,20,30,30,,30,44,45,,,,,,,,
,,488,mikemast,256,6,65,,,,,,,,,28,39,48,47,,,,29,,,,
,,491,Ulyssess,255,10,80,22,22,20,6,42,30,12,27,,,,,,10,,,,,,
,,491,Mitchum,255,13,55,,20,22,23,30,35,27,5,19,25,28,32,,,,,13,,,
,,491,jacksonray,255,6,,,20,30,34,,,,,,,48,60,,,,,63,,,
,,494,SeanHandley,254,8,55,,,6,23,,,,30,38,35,35,32,,,,,,,,
,,494,greyshade,254,10,80,23,22,22,22,,,,,30,20,28,27,,,,11,,,,
,,496,Cristiancordeu,253,11,55,26,26,30,22,,,,,28,39,27,20,,,,1,10,,,
,,496,Jume,253,16,80,22,20,15,26,6,6,20,27,20,19,19,38,10,10,,,11,,,
,,496,devilchn,253,4,140,20,46,47,,,,,,,,,,,,,,,,,
,,499,Nevic,251,5,80,,,,,,,,,28,60,48,35,,,,,,,,
,,500,Monik,248,15,65,23,30,20,10,5,5,,12,6,25,38,35,10,10,,,9,,,
,,500,Jolli,248,9,20,26,22,23,22,20,56,49,30,,,,,,,,,,,,
,,502,rcia,247,6,95,30,34,26,30,,,,,,,,,,,,,32,,,
,,502,TeriyakiJaccuzi,247,15,45,30,22,20,6,12,30,12,27,22,38,27,28,10,,,,7,,,
,,504,MarcoM,246,7,80,,,,,,,12,35,25,32,30,32,,,,,,,,
,,505,chris223,245,14,55,30,22,23,26,27,20,27,20,28,27,25,23,,,,,14,,,
,,505,PacoHolliday,245,9,65,26,26,20,3,,,,,39,30,22,17,,,,,,,,
,,505,Tyrtaios,245,8,80,,,15,26,,,12,30,,20,32,30,,,,,,,,
,,508,Fullynice,244,14,65,20,20,22,22,6,20,30,20,30,25,17,30,,,,,8,,,
,,509,Lothar,243,3,170,46,,,,,,,,,,,,,,27,,,,,
,,509,Francesco1812,243,14,75,26,20,30,23,27,6,6,6,20,22,20,19,,,,,15,,,
,,511,Etherealz,242,5,65,40,,,,,,,,27,,,,100,10,,,,,,
,,512,OrionAlpha,241,14,45,22,10,30,22,30,6,5,6,25,19,32,35,,,,,14,,,
,,512,JohnnyMac,241,13,65,26,26,22,20,12,27,20,27,17,8,19,28,,,,,,,,
,,514,lfrantisek,240,2,140,,,,,,,,,,,,,100,,,,,,,
,,514,Adrianobf,240,7,75,22,30,23,20,,,,,45,25,,,,,,,,,,
,,514,jonswar,240,1,,,,,,,,,,,,,,,,,,240,,,
,,517,albinsix,239,10,80,30,30,26,22,27,12,12,12,,,,,,,,,8,,,
,,517,Strawer_1982,239,9,,43,23,23,30,30,12,42,35,,,,,,,,,13,,,
,,517,HRG,239,13,80,23,22,20,20,27,6,20,27,17,6,19,20,,,,,,,,
,,520,kuzmich,238,7,75,26,34,20,,,,,,20,33,30,,,,,,,,,
,,520,Shiffdog,238,11,65,,,10,22,5,12,27,6,28,30,22,32,,,,,,,,
,,522,Imiter,237,5,95,,,,,,,,,45,32,35,30,,,,,,,,
,,522,GregoryD,237,9,95,30,26,20,10,12,12,30,12,,,,,,,,,,,,
,,522,tysat,237,10,80,,,,,6,12,12,30,25,20,28,30,,10,,,,,,
,,522,JohnyT,237,7,95,,,,,20,30,30,30,,,,,,10,,,22,,,
,,522,Bidenbaum,237,6,,,,27,,,30,56,,,,60,,,,43,21,,,,
,,527,Froggy42,236,10,55,23,22,26,22,,,,,25,32,27,26,,,,,11,,,
,,527,AdumbusPrime,236,6,80,,,,,,,,,15,25,32,44,,40,,,,,,
,,529,yliu386,234,4,115,,,,,,42,42,35,,,,,,,,,,,,
,,529,czaurel,234,9,20,46,40,23,20,20,30,12,35,,,,,,,,,,,,
,,529,EugeneB,234,5,95,,,,,,,,,25,38,44,32,,,,,,,,
,,529,KubikD,234,5,115,,,,,,,,,20,22,38,39,,,,,,,,
,,533,Dienekes,233,14,80,23,20,15,22,30,6,6,6,19,20,19,17,,,,,18,,,
,,534,abobey,232,15,55,26,23,22,22,6,5,6,5,25,28,28,25,10,,,21,,,,
,,534,Chrono_,232,5,115,,,,,,,,,20,32,35,30,,,,,,,,
,,536,shohei,231,7,75,26,26,34,,20,30,,20,,,,,,,,,,,,
,,536,Jesaphi,231,9,75,22,23,22,20,,,,,32,20,17,11,,,,,,,,
,,536,Mejdzr,231,10,45,40,30,20,6,,,,,4,22,32,32,,10,,,,,,
,,536,taltal,231,5,80,,,,,,,,,38,39,39,35,,,,,,,,
,,536,Kaczas,231,5,95,,,,,,,,,39,30,28,39,,,,,,,,
,,541,KEIL,230,8,95,34,34,22,22,,6,,12,,,,,,,,5,,,,
,,541,Garban7,230,9,65,20,20,30,30,,,,,4,20,28,17,,,,,,,,
,,543,woodabooga,229,5,75,,,,,,,,,32,52,45,25,,,,,,,,
,,543,Sirovec,229,9,80,20,20,22,20,,,,,22,25,20,19,,,,,,,,
,,543,ThomRun974,229,2,210,,,,,,,,,,,,,,,,,19,,,
,,546,aaaaa,228,4,,75,59,47,47,,,,,,,,,,,,,,,,
,,546,Lodon,228,9,,20,23,,,20,27,,,8,,,20,10,100,,,5,,,
,,548,BradSwan,227,6,,,40,46,,30,56,49,,,,,,,,,6,,,,
,,549,mahlerian_shadow,225,9,65,,,,,12,27,6,5,32,30,25,28,,,,,,,,
,,549,pessen,225,2,210,,,,,,,,,,,,,,,15,,,,,
,,551,ChrisTher,224,3,,52,92,80,,,,,,,,,,,,,,,,,
,,552,Paoloco,223,8,,40,20,20,34,27,20,35,27,,,,,,,,,,,,
,,552,sorecats,223,6,115,26,22,26,26,,,,,,,,,,,,,8,,,
,,552,madrabbit,223,3,,95,,59,69,,,,,,,,,,,,,,,,
,,555,Lloydinspace100,221,4,,80,43,,,42,56,,,,,,,,,,,,,,
,,555,Gandy,221,6,95,,,,,,,,,30,25,25,25,,,21,,,,,
,,555,micropip,221,11,75,23,22,22,20,27,12,12,6,,,,,,10,,,20,,,
,,558,Claudius74,220,14,55,23,23,22,26,5,6,5,6,32,19,20,19,,,,,5,,,
,,558,mushan,220,3,130,,,,,,,,,80,,,,,10,,,,,,
,,560,tiffelvet,219,5,130,,,,,,,,,20,22,22,25,,,,,,,,
,,561,Tasku,217,4,130,,,,27,,,,30,,,,,,,,30,,,,
,,562,Frygian,216,6,75,23,34,26,23,,,,,35,,,,,,,,,,,
,,563,kabel2,215,12,45,26,26,23,,30,5,6,5,20,20,25,19,,,,,,,,
,,563,Crowther,215,5,80,,,,,30,35,35,35,,,,,,,,,,,,
,,565,kev5047,214,9,20,,,,,6,20,30,12,28,27,38,39,,,,,,,,
,,565,LeSauvage,214,11,45,23,26,23,30,20,,,,17,11,17,30,,,,,5,,,
,,565,Muning,214,4,,,,,,,,,,52,50,52,60,,,,,,,,
,,565,bobcatbob,214,15,65,20,20,22,20,6,6,5,5,22,25,19,20,,10,,,17,,,
,,565,RobertdeSable,214,7,,,,15,23,27,12,56,49,,,,,,,,,32,,,
,,570,JCleek,213,3,,59,69,85,,,,,,,,,,,,,,,,,
,,570,tanman,213,9,65,22,20,20,3,20,27,12,27,,,,,,,,,,,,
,,572,MeteorisVulcanus,212,9,65,,,,,5,12,12,27,30,19,19,28,,,,,,,,
,,572,Helen-the-great,212,4,75,,,,,,,,,32,60,45,,,,,,,,,
,,572,HolyOutlaw,212,9,75,,,,,27,6,12,12,22,22,22,20,,,,,,,,
,,572,M-L-E,212,3,140,,,,,42,30,,,,,,,,,,,,,,
,,576,kalev,211,14,,22,22,23,22,27,12,27,20,38,30,20,19,10,,,,6,,,
,,576,LordHomeOffice,211,5,,47,59,47,40,,,,,,,,,,,18,,,,,
,,578,etJake,210,9,45,,,,,30,6,6,20,32,28,27,22,,,,,,,,
,,578,FoLKeN91,210,1,210,,,,,,,,,,,,,,,,,,,,
,,578,ranch99,210,1,210,,,,,,,,,,,,,,,,,,,,
,,578,sbaro,210,9,75,,6,22,20,30,27,20,,,,,,,10,,,4,,,
,,578,otis,210,1,210,,,,,,,,,,,,,,,,,,,,
,,578,PatLes5Couronnes,210,1,210,,,,,,,,,,,,,,,,,,,,
,,578,Kristin,210,1,210,,,,,,,,,,,,,,,,,,,,
,,578,dnomn8r,210,1,210,,,,,,,,,,,,,,,,,,,,
,,578,Composaurus,210,1,210,,,,,,,,,,,,,,,,,,,,
,,578,Shmu,210,1,210,,,,,,,,,,,,,,,,,,,,
,,578,ulkupayaya,210,1,210,,,,,,,,,,,,,,,,,,,,
,,589,SuperHans,208,2,115,,,,,,,,,,,,,,,93,,,,,
,,589,Partyshank,208,11,65,20,20,,,6,20,27,,1,15,22,19,,10,,,,,,
,,589,KTown,208,9,45,,,,,27,12,5,30,28,27,19,20,,,,,,,,
,,589,arDKee,208,6,,,,27,46,,,30,42,,,15,48,,,,,,,,
,,593,J-dog,207,9,55,23,20,26,23,,,,,6,22,19,19,,,,,,,,
,,593,alittlehorse,207,6,75,,,,,,,,,15,32,35,38,,,,12,,,,
,,595,Slavica,206,3,95,,,,,,,,,11,,,,100,,,,,,,
,,596,KorXo,205,9,20,,,,,6,12,30,27,22,28,38,28,,,,,,,,
,,596,Montu,205,6,,,20,30,,30,35,42,,,,,,,,,,48,,,
,,598,Rob13,204,10,,,20,23,34,20,27,12,27,,15,28,25,,,,,,,,
,,598,redantx,204,5,95,,,,,,,,,20,19,38,32,,,,,,,,
,,600,Gr33ny,203,13,55,20,10,23,20,12,27,5,5,19,19,19,20,,,,,,,,
,,600,Exile,203,9,65,20,26,20,3,,,,,20,17,15,20,,,,,,,,
,,602,Bedrich_H,202,9,75,23,22,22,22,27,5,5,6,,,,,,,,,,,,
,,602,vgiannog,202,9,65,,,,,6,12,12,42,8,22,19,22,,,,,,,,
