Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
French Open 2026 - group 52 game 1,2026-06-22,silverpaun,375,SullyWully,271,spdwhat,-5.0,wahrlator,-5.0,4
French Open 2026 - group 59 game 1,2026-06-22,Momomillion,279,Alfonsillo,147,Viceroy,-5.0,Ivan04,-5.0,4
French Open 2026 - group 103 game 1,2026-06-23,ChunkySam,298,Garhett,252,llsgnm,239.0,MLucient,-5.0,4
French Open 2026 - group 109 game 1,2026-06-23,Aekk,296,King.I.T.North,243,Warstoryteller,234.0,araknid,-5.0,4
French Open 2026 - group 114 game 1,2026-06-23,Sapiocek,245,Minik,209,oldmutant,181.0,JS619,177.0,4
French Open 2026 - group 116 game 1,2026-06-23,Nevic,264,baodalanxin,236,Peperinni,223.0,Monik,218.0,4
French Open 2026 - group 121 game 1,2026-06-23,Gyphon,267,Rackare,244,Wonski,181.0,razorsedger,134.0,4
French Open 2026 - group 184 game 1,2026-06-23,ed_vins,244,Netrom,227,Veggis,196.0,ViznessDaBizness,141.0,4
French Open 2026 - group 25 game 1,2026-06-23,Oleksandr,289,Cleveman,232,Perrary,226.0,kackajoni,189.0,4
French Open 2026 - group 37 game 1,2026-06-23,RestlessMe,333,Darkksun,247,RobertdeSable,245.0,rustylantern,185.0,4
French Open 2026 - group 44 game 1,2026-06-23,zackg,288,SeanHandley,287,kemal,236.0,Fullynice,172.0,4
French Open 2026 - group 49 game 1,2026-06-23,Saph4ir,218,tiffelvet,183,andregois,183.0,Biggi86,179.0,4
French Open 2026 - group 55 game 1,2026-06-23,Rolls.Royal,246,DieKrake89,241,Ddafaith,227.0,Mighke,-4.0,4
French Open 2026 - group 77 game 1,2026-06-23,Garri,374,Polldrake,307,Pulpecja,287.0,vivimaster,-5.0,4
French Open 2026 - group 8 game 1,2026-06-23,MartinW,218,t-k-421,77,Athafil,-5.0,RiteInUrEye,-5.0,4
French Open 2026 - group 1 game 1,2026-06-24,ElTanque35,250,Kelern,241,qige,208.0,FuManchu,146.0,4
French Open 2026 - group 106 game 1,2026-06-24,Daniii,348,HumusAmongUs,227,sackn,62.0,pj79,-4.0,4
French Open 2026 - group 118 game 1,2026-06-24,SuperHans,221,KeNMansters,213,BuddhaBoost,210.0,Radvan,209.0,4
French Open 2026 - group 119 game 1,2026-06-24,StonedHenge420,235,Metil,190,Dvd75,182.0,Dakeyras,181.0,4
French Open 2026 - group 16 game 1,2026-06-24,DB.Starman,241,ChampDeGlace,231,C3POsMidriff,225.0,Nimnaros,179.0,4
French Open 2026 - group 170 game 1,2026-06-24,nerficya,191,Mike1313,189,tkornai,170.0,Brightfuture,166.0,4
French Open 2026 - group 18 game 1,2026-06-24,Dread_84,263,jhutc,195,Graypilgrim,127.0,redantx,84.0,4
French Open 2026 - group 191 game 1,2026-06-24,SwaulgustusCaesar,251,JohnyT,221,Quasar_Enderas,141.0,RodaxIII,-5.0,4
French Open 2026 - group 33 game 1,2026-06-24,jonswar,384,Sawell,328,Dayvs,253.0,Dienekes,36.0,4
French Open 2026 - group 38 game 1,2026-06-24,KubikD,323,Beewiz,275,Bedrich_H,264.0,johnboy,208.0,4
French Open 2026 - group 56 game 1,2026-06-24,Melon6688,230,J-Dawg,212,HRG,194.0,CRocky,167.0,4
French Open 2026 - group 66 game 1,2026-06-24,Tomboy,327,aaaaa,322,TuZhao,239.0,Bulb,174.0,4
French Open 2026 - group 80 game 1,2026-06-24,SpartacusImperator,265,Mockingbird5,230,kacavenda,228.0,Irmo,163.0,4
French Open 2026 - group 9 game 1,2026-06-24,AdiQue,395,Sophia,269,PacoHolliday,236.0,RAKoS,219.0,4
French Open 2026 - group 95 game 1,2026-06-24,Meklaurufen,240,jdtyler7,240,martinxjames,203.0,FabioFurious,192.0,4
French Open 2026 - group 11 game 1,2026-06-25,pote,203,stefano-prof,175,Mejdzr,166.0,Wing,-4.0,4
French Open 2026 - group 120 game 1,2026-06-25,jantteri,284,SchutterNL,276,chefung,268.0,Gympanse,139.0,4
French Open 2026 - group 126 game 1,2026-06-25,DarKStyle,339,lcesar34,261,Jonny125,227.0,bobcatbob,175.0,4
French Open 2026 - group 160 game 1,2026-06-25,BuWu,196,MrGekz,160,clemy,124.0,backspace,95.0,4
French Open 2026 - group 179 game 1,2026-06-25,Darek79,269,pavelceska,252,AnBeLi3v4bLe,225.0,Haxxorn,-5.0,4
French Open 2026 - group 187 game 1,2026-06-25,St-Amadeus,244,Urist,177,cyb3k,174.0,Boardello,75.0,4
French Open 2026 - group 32 game 1,2026-06-25,Garghiii,278,sirlenon,186,Titiman,147.0,Teadiddy14,-5.0,4
French Open 2026 - group 41 game 1,2026-06-25,KidCanuck,257,Oranim,216,maunzzz,213.0,Lexa7,64.0,4
French Open 2026 - group 65 game 1,2026-06-25,Wolfric,166,WraightCZ,148,thebigcheese,140.0,omoi,77.0,4
French Open 2026 - group 70 game 1,2026-06-25,Pshemo,294,InGodWeTrust,268,TeriyakiJaccuzi,-5.0,Giulio_GC,-5.0,4
French Open 2026 - group 78 game 1,2026-06-25,ZesPak,226,nattee,202,Crs,188.0,GoblinMatron,144.0,4
French Open 2026 - group 88 game 1,2026-06-25,creamyalfredo,290,kevinsbane,261,JakubZGandalfova,224.0,MajorGaz,165.0,4
French Open 2026 - group 99 game 1,2026-06-25,gaitimes,372,MoreHat,333,RuslanP,305.0,Loscy,284.0,4
French Open 2026 - group 105 game 1,2026-06-26,JohnDavie,262,chris223,260,Rickanchamun,207.0,vekijo,148.0,4
French Open 2026 - group 125 game 1,2026-06-26,refs,218,comant,207,Rako,195.0,StarLakeGuy,191.0,4
French Open 2026 - group 129 game 1,2026-06-26,Dolio,320,nicg,250,Larsusvonundzu,180.0,Msandry,-5.0,4
French Open 2026 - group 146 game 1,2026-06-26,Dzsabo,241,jonzewiespike,198,psztika,151.0,OM_Para,-5.0,4
French Open 2026 - group 163 game 1,2026-06-26,vagrantil,220,jokerchai,164,Amorin,156.0,mooscolly,19.0,4
French Open 2026 - group 23 game 1,2026-06-26,z0pfel,190,Nightvayne,168,TheElk,163.0,Modiarty,-5.0,4
French Open 2026 - group 28 game 1,2026-06-26,WanderingWolf,281,PlanarFreak,244,DVDripXvid,237.0,BlackSmyth,174.0,4
French Open 2026 - group 149 game 1,2026-06-27,xYotsuba,390,Wyszek,233,kngoswg,211.0,JimBryan,81.0,4
French Open 2026 - group 172 game 1,2026-06-27,KMMAL,278,speedstone,265,deandedean,229.0,Spriteule,223.0,4
French Open 2026 - group 57 game 1,2026-06-27,gamblerch,198,JoopHuizinga,185,Karmoth,131.0,Axius9,107.0,4
French Open 2026 - group 58 game 1,2026-06-27,Malakesh,308,CuJ,202,Icarium,180.0,kabel2,150.0,4
French Open 2026 - group 69 game 1,2026-06-27,SafeT,183,Wiktor,181,javimb89,179.0,Csannerud,173.0,4
French Open 2026 - group 83 game 1,2026-06-27,Drikhen,168,Pieroz88,156,Dethar,147.0,Flower4,144.0,4
